300	6	160	64
333	6	131	65
358	6	680	65
179	8	317	69
200	8	847	66
217	8	869	66
233	8	691	61
250	8	808	62
274	8	8	63
316	8	472	64
794	8	30	144
802	8	704	147
147	9	251	70
554	10	262	157
612	10	178	157
160	11	390	70
670	11	43	156
726	11	843	153
812	11	260	149
643	13	34	163
691	13	788	153
371	15	507	72
764	15	192	157
787	15	53	153
481	16	694	79
475	17	146	78
749	17	288	158
822	20	870	153
359	21	612	76
626	21	612	164
171	22	449	78
199	22	728	76
250	22	228	77
268	22	361	77
273	22	162	79
278	22	416	77
300	22	507	77
317	22	487	76
333	22	554	76
383	22	747	77
780	22	467	158
143	23	239	82
179	23	699	76
208	23	752	76
216	23	878	76
388	23	466	79
727	23	759	163
228	24	576	78
804	24	302	158
842	24	361	157
161	25	177	81
523	25	764	171
644	25	335	168
360	26	249	82
578	26	34	173
639	26	319	168
702	26	511	167
250	27	317	82
334	27	244	82
776	27	107	164
146	28	16	84
177	28	302	82
437	28	273	176
596	28	55	173
540	29	74	175
766	29	361	166
450	30	487	176
506	30	463	171
492	31	513	174
518	31	468	171
567	31	643	172
235	32	634	87
250	32	747	87
274	32	747	82
279	32	499	88
300	32	44	84
317	32	799	85
333	32	808	85
360	32	130	86
390	32	560	88
407	32	26	90
554	32	822	171
612	32	68	178
670	32	85	173
692	32	634	168
737	32	347	168
178	33	729	86
190	33	275	91
727	33	416	169
751	33	26	170
746	34	152	175
766	34	704	170
161	35	346	91
198	36	449	91
500	36	503	178
495	37	638	180
693	37	90	178
702	38	633	182
265	39	577	93
554	39	477	179
636	39	234	182
829	39	876	168
161	40	541	96
228	40	638	92
579	40	361	183
519	41	160	184
741	41	752	179
694	42	273	182
490	44	537	185
638	44	209	190
161	45	156	101
227	45	644	102
425	45	218	195
437	45	304	197
506	45	554	186
554	45	521	184
612	45	575	184
670	45	415	183
728	45	451	183
417	46	265	197
473	46	17	186
842	46	75	180
360	47	250	103
751	47	729	184
764	47	44	185
792	47	643	182
804	47	765	182
237	48	415	103
250	48	450	103
267	48	751	103
277	48	808	103
317	48	841	103
334	48	234	103
644	48	671	195
703	48	680	194
786	48	463	183
799	48	580	183
147	49	808	111
177	49	284	103
192	49	347	103
298	49	693	106
403	49	867	103
781	49	93	185
390	50	335	104
759	50	644	193
774	50	843	186
161	51	156	106
131	52	252	116
229	52	241	109
359	52	694	111
542	52	87	200
750	52	129	193
815	53	74	189
612	54	631	202
670	54	158	201
554	55	704	203
727	55	194	201
741	55	789	197
160	56	130	116
197	56	273	116
693	56	730	195
178	57	482	117
240	57	597	117
250	57	657	117
275	57	318	116
293	57	821	117
301	57	335	116
317	57	859	117
334	57	347	116
360	57	670	119
403	57	538	118
437	59	521	208
679	59	752	203
643	60	554	207
703	60	579	206
792	60	232	201
378	61	150	122
808	62	695	202
160	64	438	123
131	65	347	129
142	65	763	127
760	65	657	206
612	66	505	209
670	66	378	208
744	66	391	207
847	66	492	204
799	68	844	207
242	69	692	128
291	69	751	128
317	69	253	129
402	69	200	128
634	69	68	214
703	69	611	208
63	70	862	144
178	70	461	128
197	70	361	129
251	70	729	128
275	70	742	128
301	70	873	128
334	70	266	129
351	70	492	129
390	70	280	129
523	70	81	219
581	70	26	218
644	70	159	216
361	71	415	130
473	71	390	202
228	72	392	129
417	72	392	222
437	72	171	222
466	72	335	202
693	72	424	215
743	72	682	209
792	72	477	214
540	73	32	220
598	73	482	219
131	74	764	138
141	74	244	137
214	75	156	136
482	75	42	205
477	76	417	204
554	76	46	223
612	76	130	220
670	76	252	222
684	76	789	218
728	76	844	218
752	76	67	219
228	77	643	137
747	77	446	216
146	78	361	140
154	78	638	137
427	78	92	228
162	79	859	138
466	79	362	208
694	79	304	222
177	81	537	140
289	81	302	141
197	82	437	143
231	82	233	142
239	82	259	141
249	82	346	142
275	82	409	142
302	82	318	141
317	82	511	142
334	82	335	141
346	82	416	141
360	82	427	141
391	82	451	141
407	82	89	139
415	82	475	229
644	82	437	228
703	82	362	226
451	83	202	228
44	84	318	158
808	85	157	227
130	86	861	149
612	86	537	229
623	86	336	227
670	86	411	228
693	86	578	227
729	86	670	228
634	87	86	230
747	87	583	227
499	88	810	229
197	90	318	149
437	90	56	236
178	91	86	150
234	91	193	150
249	91	275	150
275	91	361	150
287	91	392	150
301	91	486	150
318	91	496	150
334	91	509	151
346	91	335	149
361	91	764	151
391	91	404	149
411	91	491	149
417	91	693	237
449	91	764	236
483	91	236	222
643	92	25	237
704	92	86	235
523	93	81	242
577	93	704	237
582	93	454	238
130	95	876	156
162	95	729	152
600	95	577	239
656	95	32	239
62	96	799	165
450	96	202	247
670	96	63	239
628	97	729	238
757	97	68	239
554	99	19	246
612	99	118	245
729	99	86	242
229	100	251	157
467	100	13	245
639	100	741	238
738	100	131	242
763	100	634	239
199	101	275	158
437	101	393	248
703	101	304	247
787	101	670	239
217	102	335	158
644	102	255	248
801	102	143	242
178	103	48	159
234	103	408	158
250	103	103	159
274	103	643	159
284	103	25	160
347	103	87	161
751	103	138	242
808	103	485	242
841	103	789	239
302	104	131	160
318	104	580	160
335	104	638	160
360	104	492	161
391	104	523	161
820	104	105	239
471	105	765	249
859	105	38	240
143	106	231	164
156	106	538	163
693	106	824	249
34	108	694	180
613	108	42	256
637	108	416	248
735	108	42	250
130	109	218	166
161	109	554	165
841	109	84	250
451	110	42	261
788	111	718	248
808	111	79	250
87	112	451	178
151	112	501	166
426	112	643	260
437	112	764	260
416	114	583	260
644	114	47	261
704	114	267	260
142	115	449	171
523	115	634	266
582	115	65	265
49	116	611	185
130	116	15	174
178	116	33	168
200	116	85	168
217	116	179	168
233	116	252	168
252	116	80	167
273	116	123	167
